"source","callerService","configKey","sink","resolvedEndpoint"
"this.co ... E_URL')","auth","USERS_SERVICE_URL","`${this ... /users`","{USERS_SERVICE_URL}/users"
"this.co ... E_URL')","gateway","USERS_SERVICE_URL","`${this ... /users`","{USERS_SERVICE_URL}/users"
"this.co ... E_URL')","auth","CLUBS_SERVICE_URL","`${this ... serId}`","{CLUBS_SERVICE_URL}/clubs/roles/{clubId}/{userId}"
"this.co ... E_URL')","gateway","CLUBS_SERVICE_URL","`${this ... /clubs`","{CLUBS_SERVICE_URL}/clubs"
"this.co ... E_URL')","clubs","EVENTS_SERVICE_URL","url","{EVENTS_SERVICE_URL}/events"
"this.co ... \r\n    )","events","NOTIFICATIONS_SERVICE_URL","url","{NOTIFICATIONS_SERVICE_URL}/notifications/event-update"
"this.co ... E_URL')","events","CLUBS_SERVICE_URL","url","{CLUBS_SERVICE_URL}/clubs/event-reference/{eventId}"
"this.co ... E_URL')","auth","USERS_SERVICE_URL","`${this ... /users`","{USERS_SERVICE_URL}/users"
"this.co ... E_URL')","gateway","USERS_SERVICE_URL","`${this ... /users`","{USERS_SERVICE_URL}/users"
"this.co ... E_URL')","auth","CLUBS_SERVICE_URL","`${this ... serId}`","{CLUBS_SERVICE_URL}/clubs/roles/{clubId}/{userId}"
"this.co ... E_URL')","gateway","CLUBS_SERVICE_URL","`${this ... /clubs`","{CLUBS_SERVICE_URL}/clubs"
"'event-update'","notifications","Unknown-Key","url","{EVENTS_SERVICE_URL}/events/template-data/{templateId}"
"this.co ... E_URL')","notifications","EVENTS_SERVICE_URL","url","{EVENTS_SERVICE_URL}/events/template-data/{templateId}"
"this.co ... E_URL')","notifications","USERS_SERVICE_URL","url","{USERS_SERVICE_URL}/users/unsubscribe/{userId}"
